Year,Country,bana
1996,ALB,0
1996,AND,0
1996,ARG,0
1996,ATG,0
1996,AUT,0
1996,BEL,0
1996,BEN,0
1996,BGR,0
1996,BHR,0
1996,BOL,0
1996,BRA,0
1996,BRN,0
1996,BWA,0
1996,CHE,0
1996,CHL,0
1996,CHN,0
1996,CIV,0
1996,COG,0
1996,COK,0
1996,COL,0
1996,CRI,0
1996,CYP,0
1996,CZE,0
1996,DEU,0
1996,DNK,0
1996,DOM,0
1996,DZA,0
1996,ECU,0
1996,EGY,0
1996,ESP,0
1996,EST,0
1996,ETH,0
1996,EUN,0
1996,FIN,1
1996,FRA,0
1996,GBR,0
1996,GHA,0
1996,GIN,0
1996,GMB,0
1996,GRC,0
1996,GTM,0
1996,HRV,0
1996,HUN,0
1996,IDN,0
1996,IRL,0
1996,IRN,0
1996,ISL,0
1996,ITA,0
1996,JAM,0
1996,JOR,0
1996,KEN,0
1996,KNA,0
1996,KWT,0
1996,LBN,0
1996,LBR,0
1996,LCA,0
1996,LIE,0
1996,LKA,0
1996,LSO,0
1996,LTU,0
1996,LUX,0
1996,LVA,0
1996,MAR,0
1996,MCO,0
1996,MDA,0
1996,MDV,0
1996,MEX,0
1996,MKD,0
1996,MLT,0
1996,MNE,0
1996,MUS,0
1996,MWI,0
1996,MYS,0
1996,NAM,0
1996,NER,0
1996,NGA,0
1996,NIC,0
1996,NLD,0
1996,NOR,0
1996,OMN,0
1996,PAN,0
1996,PER,0
1996,POL,0
1996,PRT,0
1996,PRY,0
1996,QAT,0
1996,ROU,0
1996,SAU,0
1996,SLE,0
1996,SLV,0
1996,SRB,0
1996,SVK,0
1996,SVN,0
1996,SWE,0
1996,SYC,0
1996,SYR,0
1996,THA,0
1996,TTO,0
1996,TUN,0
1996,TUR,0
1996,TZA,0
1996,URY,0
1996,ZAF,0
1996,ZMB,0
1997,ALB,0
1997,AND,0
1997,ARG,0
1997,ATG,0
1997,AUT,0
1997,BEL,0
1997,BEN,0
1997,BGR,0
1997,BHR,0
1997,BOL,0
1997,BRA,0
1997,BRN,0
1997,BWA,0
1997,CHE,0
1997,CHL,0
1997,CHN,0
1997,CIV,0
1997,COG,0
1997,COK,0
1997,COL,0
1997,CRI,0
1997,CYP,0
1997,CZE,0
1997,DEU,0
1997,DNK,1
1997,DOM,0
1997,DZA,0
1997,ECU,0
1997,EGY,0
1997,ESP,1
1997,EST,0
1997,ETH,0
1997,EUN,1
1997,FIN,1
1997,FRA,0
1997,GBR,1
1997,GHA,0
1997,GIN,0
1997,GMB,0
1997,GRC,0
1997,GTM,0
1997,HRV,0
1997,HUN,0
1997,IDN,0
1997,IRL,0
1997,IRN,0
1997,ISL,0
1997,ITA,0
1997,JAM,0
1997,JOR,0
1997,KEN,0
1997,KNA,0
1997,KWT,0
1997,LBN,0
1997,LBR,0
1997,LCA,0
1997,LIE,0
1997,LKA,0
1997,LSO,0
1997,LTU,0
1997,LUX,1
1997,LVA,0
1997,MAR,0
1997,MCO,0
1997,MDA,0
1997,MDV,0
1997,MEX,0
1997,MKD,0
1997,MLT,0
1997,MNE,0
1997,MUS,0
1997,MWI,0
1997,MYS,0
1997,NAM,0
1997,NER,0
1997,NGA,0
1997,NIC,0
1997,NLD,0
1997,NOR,1
1997,OMN,0
1997,PAN,0
1997,PER,0
1997,POL,0
1997,PRT,0
1997,PRY,0
1997,QAT,0
1997,ROU,0
1997,SAU,0
1997,SLE,0
1997,SLV,0
1997,SRB,0
1997,SVK,0
1997,SVN,0
1997,SWE,1
1997,SYC,0
1997,SYR,0
1997,THA,0
1997,TTO,0
1997,TUN,0
1997,TUR,0
1997,TZA,0
1997,URY,0
1997,ZAF,0
1997,ZMB,0
1998,ALB,0
1998,AND,0
1998,ARG,0
1998,ATG,0
1998,AUT,0
1998,BEL,0
1998,BEN,0
1998,BGR,0
1998,BHR,0
1998,BOL,0
1998,BRA,0
1998,BRN,0
1998,BWA,0
1998,CHE,0
1998,CHL,0
1998,CHN,0
1998,CIV,0
1998,COG,0
1998,COK,0
1998,COL,0
1998,CRI,0
1998,CYP,0
1998,CZE,0
1998,DEU,0
1998,DNK,1
1998,DOM,0
1998,DZA,0
1998,ECU,1
1998,EGY,0
1998,ESP,1
1998,EST,0
1998,ETH,0
1998,EUN,1
1998,FIN,1
1998,FRA,0
1998,GBR,1
1998,GHA,0
1998,GIN,0
1998,GMB,0
1998,GRC,0
1998,GTM,0
1998,HRV,0
1998,HUN,0
1998,IDN,0
1998,IRL,0
1998,IRN,0
1998,ISL,0
1998,ITA,0
1998,JAM,0
1998,JOR,0
1998,KEN,0
1998,KNA,0
1998,KWT,0
1998,LBN,0
1998,LBR,0
1998,LCA,0
1998,LIE,0
1998,LKA,0
1998,LSO,0
1998,LTU,0
1998,LUX,1
1998,LVA,0
1998,MAR,0
1998,MCO,0
1998,MDA,0
1998,MDV,0
1998,MEX,0
1998,MKD,0
1998,MLT,0
1998,MNE,0
1998,MUS,0
1998,MWI,0
1998,MYS,0
1998,NAM,0
1998,NER,0
1998,NGA,0
1998,NIC,0
1998,NLD,0
1998,NOR,1
1998,OMN,0
1998,PAN,1
1998,PER,0
1998,POL,0
1998,PRT,0
1998,PRY,1
1998,QAT,0
1998,ROU,0
1998,SAU,0
1998,SLE,0
1998,SLV,0
1998,SRB,0
1998,SVK,1
1998,SVN,0
1998,SWE,1
1998,SYC,0
1998,SYR,0
1998,THA,0
1998,TTO,0
1998,TUN,0
1998,TUR,0
1998,TZA,0
1998,URY,0
1998,ZAF,0
1998,ZMB,0
1999,ALB,0
1999,AND,1
1999,ARG,0
1999,ATG,0
1999,AUT,1
1999,BEL,0
1999,BEN,0
1999,BGR,0
1999,BHR,0
1999,BOL,0
1999,BRA,0
1999,BRN,0
1999,BWA,0
1999,CHE,0
1999,CHL,0
1999,CHN,0
1999,CIV,0
1999,COG,0
1999,COK,0
1999,COL,0
1999,CRI,0
1999,CYP,0
1999,CZE,0
1999,DEU,0
1999,DNK,1
1999,DOM,0
1999,DZA,0
1999,ECU,1
1999,EGY,0
1999,ESP,1
1999,EST,0
1999,ETH,0
1999,EUN,1
1999,FIN,1
1999,FRA,0
1999,GBR,1
1999,GHA,0
1999,GIN,0
1999,GMB,0
1999,GRC,0
1999,GTM,0
1999,HRV,0
1999,HUN,0
1999,IDN,0
1999,IRL,0
1999,IRN,0
1999,ISL,0
1999,ITA,0
1999,JAM,0
1999,JOR,0
1999,KEN,0
1999,KNA,0
1999,KWT,0
1999,LBN,0
1999,LBR,0
1999,LCA,0
1999,LIE,0
1999,LKA,1
1999,LSO,0
1999,LTU,0
1999,LUX,1
1999,LVA,0
1999,MAR,0
1999,MCO,0
1999,MDA,0
1999,MDV,0
1999,MEX,0
1999,MKD,0
1999,MLT,0
1999,MNE,0
1999,MUS,0
1999,MWI,0
1999,MYS,0
1999,NAM,0
1999,NER,0
1999,NGA,0
1999,NIC,0
1999,NLD,0
1999,NOR,1
1999,OMN,0
1999,PAN,1
1999,PER,0
1999,POL,0
1999,PRT,0
1999,PRY,1
1999,QAT,0
1999,ROU,0
1999,SAU,0
1999,SLE,0
1999,SLV,0
1999,SRB,0
1999,SVK,1
1999,SVN,0
1999,SWE,1
1999,SYC,0
1999,SYR,0
1999,THA,0
1999,TTO,0
1999,TUN,1
1999,TUR,0
1999,TZA,0
1999,URY,1
1999,ZAF,0
1999,ZMB,0
2000,ALB,0
2000,AND,1
2000,ARG,0
2000,ATG,0
2000,AUT,1
2000,BEL,0
2000,BEN,0
2000,BGR,1
2000,BHR,0
2000,BOL,0
2000,BRA,0
2000,BRN,0
2000,BWA,0
2000,CHE,0
2000,CHL,0
2000,CHN,0
2000,CIV,0
2000,COG,0
2000,COK,0
2000,COL,0
2000,CRI,0
2000,CYP,1
2000,CZE,1
2000,DEU,0
2000,DNK,1
2000,DOM,0
2000,DZA,0
2000,ECU,1
2000,EGY,0
2000,ESP,1
2000,EST,0
2000,ETH,0
2000,EUN,1
2000,FIN,1
2000,FRA,0
2000,GBR,1
2000,GHA,0
2000,GIN,0
2000,GMB,0
2000,GRC,0
2000,GTM,0
2000,HRV,0
2000,HUN,0
2000,IDN,0
2000,IRL,0
2000,IRN,0
2000,ISL,0
2000,ITA,0
2000,JAM,0
2000,JOR,0
2000,KEN,0
2000,KNA,0
2000,KWT,0
2000,LBN,0
2000,LBR,0
2000,LCA,0
2000,LIE,0
2000,LKA,1
2000,LSO,0
2000,LTU,0
2000,LUX,1
2000,LVA,0
2000,MAR,0
2000,MCO,0
2000,MDA,0
2000,MDV,0
2000,MEX,0
2000,MKD,0
2000,MLT,0
2000,MNE,0
2000,MUS,0
2000,MWI,0
2000,MYS,0
2000,NAM,0
2000,NER,0
2000,NGA,0
2000,NIC,0
2000,NLD,0
2000,NOR,1
2000,OMN,0
2000,PAN,1
2000,PER,0
2000,POL,0
2000,PRT,1
2000,PRY,1
2000,QAT,0
2000,ROU,0
2000,SAU,0
2000,SLE,0
2000,SLV,0
2000,SRB,0
2000,SVK,1
2000,SVN,0
2000,SWE,1
2000,SYC,0
2000,SYR,0
2000,THA,0
2000,TTO,1
2000,TUN,1
2000,TUR,0
2000,TZA,0
2000,URY,1
2000,ZAF,0
2000,ZMB,0
2001,ALB,0
2001,AND,1
2001,ARG,0
2001,ATG,0
2001,AUT,1
2001,BEL,0
2001,BEN,0
2001,BGR,1
2001,BHR,0
2001,BOL,0
2001,BRA,0
2001,BRN,0
2001,BWA,0
2001,CHE,0
2001,CHL,0
2001,CHN,1
2001,CIV,0
2001,COG,0
2001,COK,0
2001,COL,0
2001,CRI,0
2001,CYP,1
2001,CZE,1
2001,DEU,0
2001,DNK,1
2001,DOM,0
2001,DZA,0
2001,ECU,1
2001,EGY,0
2001,ESP,1
2001,EST,1
2001,ETH,0
2001,EUN,1
2001,FIN,1
2001,FRA,0
2001,GBR,1
2001,GHA,0
2001,GIN,0
2001,GMB,1
2001,GRC,0
2001,GTM,0
2001,HRV,0
2001,HUN,0
2001,IDN,0
2001,IRL,0
2001,IRN,0
2001,ISL,0
2001,ITA,0
2001,JAM,0
2001,JOR,0
2001,KEN,0
2001,KNA,0
2001,KWT,0
2001,LBN,0
2001,LBR,0
2001,LCA,0
2001,LIE,0
2001,LKA,1
2001,LSO,0
2001,LTU,0
2001,LUX,1
2001,LVA,0
2001,MAR,0
2001,MCO,0
2001,MDA,0
2001,MDV,0
2001,MEX,0
2001,MKD,0
2001,MLT,0
2001,MNE,0
2001,MUS,0
2001,MWI,0
2001,MYS,1
2001,NAM,0
2001,NER,0
2001,NGA,0
2001,NIC,0
2001,NLD,1
2001,NOR,1
2001,OMN,0
