Year,Country,eu
1958,AUT,0
1958,BEL,1
1958,BGR,0
1958,CYP,0
1958,CZE,0
1958,DEU,1
1958,DNK,0
1958,ESP,0
1958,EST,0
1958,FIN,0
1958,FRA,1
1958,GBR,0
1958,GRC,0
1958,HRV,0
1958,HUN,0
1958,IRL,0
1958,ITA,1
1958,LTU,0
1958,LUX,1
1958,LVA,0
1958,MLT,0
1958,NLD,1
1958,POL,0
1958,PRT,0
1958,ROU,0
1958,SVK,0
1958,SVN,0
1958,SWE,0
1959,AUT,0
1959,BEL,1
1959,BGR,0
1959,CYP,0
1959,CZE,0
1959,DEU,1
1959,DNK,0
1959,ESP,0
1959,EST,0
1959,FIN,0
1959,FRA,1
1959,GBR,0
1959,GRC,0
1959,HRV,0
1959,HUN,0
1959,IRL,0
1959,ITA,1
1959,LTU,0
1959,LUX,1
1959,LVA,0
1959,MLT,0
1959,NLD,1
1959,POL,0
1959,PRT,0
1959,ROU,0
1959,SVK,0
1959,SVN,0
1959,SWE,0
1960,AUT,0
1960,BEL,1
1960,BGR,0
1960,CYP,0
1960,CZE,0
1960,DEU,1
1960,DNK,0
1960,ESP,0
1960,EST,0
1960,FIN,0
1960,FRA,1
1960,GBR,0
1960,GRC,0
1960,HRV,0
1960,HUN,0
1960,IRL,0
1960,ITA,1
1960,LTU,0
1960,LUX,1
1960,LVA,0
1960,MLT,0
1960,NLD,1
1960,POL,0
1960,PRT,0
1960,ROU,0
1960,SVK,0
1960,SVN,0
1960,SWE,0
1961,AUT,0
1961,BEL,1
1961,BGR,0
1961,CYP,0
1961,CZE,0
1961,DEU,1
1961,DNK,0
1961,ESP,0
1961,EST,0
1961,FIN,0
1961,FRA,1
1961,GBR,0
1961,GRC,0
1961,HRV,0
1961,HUN,0
1961,IRL,0
1961,ITA,1
1961,LTU,0
1961,LUX,1
1961,LVA,0
1961,MLT,0
1961,NLD,1
1961,POL,0
1961,PRT,0
1961,ROU,0
1961,SVK,0
1961,SVN,0
1961,SWE,0
1962,AUT,0
1962,BEL,1
1962,BGR,0
1962,CYP,0
1962,CZE,0
1962,DEU,1
1962,DNK,0
1962,ESP,0
1962,EST,0
1962,FIN,0
1962,FRA,1
1962,GBR,0
1962,GRC,0
1962,HRV,0
1962,HUN,0
1962,IRL,0
1962,ITA,1
1962,LTU,0
1962,LUX,1
1962,LVA,0
1962,MLT,0
1962,NLD,1
1962,POL,0
1962,PRT,0
1962,ROU,0
1962,SVK,0
1962,SVN,0
1962,SWE,0
1963,AUT,0
1963,BEL,1
1963,BGR,0
1963,CYP,0
1963,CZE,0
1963,DEU,1
1963,DNK,0
1963,ESP,0
1963,EST,0
1963,FIN,0
1963,FRA,1
1963,GBR,0
1963,GRC,0
1963,HRV,0
1963,HUN,0
1963,IRL,0
1963,ITA,1
1963,LTU,0
1963,LUX,1
1963,LVA,0
1963,MLT,0
1963,NLD,1
1963,POL,0
1963,PRT,0
1963,ROU,0
1963,SVK,0
1963,SVN,0
1963,SWE,0
1964,AUT,0
1964,BEL,1
1964,BGR,0
1964,CYP,0
1964,CZE,0
1964,DEU,1
1964,DNK,0
1964,ESP,0
1964,EST,0
1964,FIN,0
1964,FRA,1
1964,GBR,0
1964,GRC,0
1964,HRV,0
1964,HUN,0
1964,IRL,0
1964,ITA,1
1964,LTU,0
1964,LUX,1
1964,LVA,0
1964,MLT,0
1964,NLD,1
1964,POL,0
1964,PRT,0
1964,ROU,0
1964,SVK,0
1964,SVN,0
1964,SWE,0
1965,AUT,0
1965,BEL,1
1965,BGR,0
1965,CYP,0
1965,CZE,0
1965,DEU,1
1965,DNK,0
1965,ESP,0
1965,EST,0
1965,FIN,0
1965,FRA,1
1965,GBR,0
1965,GRC,0
1965,HRV,0
1965,HUN,0
1965,IRL,0
1965,ITA,1
1965,LTU,0
1965,LUX,1
1965,LVA,0
1965,MLT,0
1965,NLD,1
1965,POL,0
1965,PRT,0
1965,ROU,0
1965,SVK,0
1965,SVN,0
1965,SWE,0
1966,AUT,0
1966,BEL,1
1966,BGR,0
1966,CYP,0
1966,CZE,0
1966,DEU,1
1966,DNK,0
1966,ESP,0
1966,EST,0
1966,FIN,0
1966,FRA,1
1966,GBR,0
1966,GRC,0
1966,HRV,0
1966,HUN,0
1966,IRL,0
1966,ITA,1
1966,LTU,0
1966,LUX,1
1966,LVA,0
1966,MLT,0
1966,NLD,1
1966,POL,0
1966,PRT,0
1966,ROU,0
1966,SVK,0
1966,SVN,0
1966,SWE,0
1967,AUT,0
1967,BEL,1
1967,BGR,0
1967,CYP,0
1967,CZE,0
1967,DEU,1
1967,DNK,0
1967,ESP,0
1967,EST,0
1967,FIN,0
1967,FRA,1
1967,GBR,0
1967,GRC,0
1967,HRV,0
1967,HUN,0
1967,IRL,0
1967,ITA,1
1967,LTU,0
1967,LUX,1
1967,LVA,0
1967,MLT,0
1967,NLD,1
1967,POL,0
1967,PRT,0
1967,ROU,0
1967,SVK,0
1967,SVN,0
1967,SWE,0
1968,AUT,0
1968,BEL,1
1968,BGR,0
1968,CYP,0
1968,CZE,0
1968,DEU,1
1968,DNK,0
1968,ESP,0
1968,EST,0
1968,FIN,0
1968,FRA,1
1968,GBR,0
1968,GRC,0
1968,HRV,0
1968,HUN,0
1968,IRL,0
1968,ITA,1
1968,LTU,0
1968,LUX,1
1968,LVA,0
1968,MLT,0
1968,NLD,1
1968,POL,0
1968,PRT,0
1968,ROU,0
1968,SVK,0
1968,SVN,0
1968,SWE,0
1969,AUT,0
1969,BEL,1
1969,BGR,0
1969,CYP,0
1969,CZE,0
1969,DEU,1
1969,DNK,0
1969,ESP,0
1969,EST,0
1969,FIN,0
1969,FRA,1
1969,GBR,0
1969,GRC,0
1969,HRV,0
1969,HUN,0
1969,IRL,0
1969,ITA,1
1969,LTU,0
1969,LUX,1
1969,LVA,0
1969,MLT,0
1969,NLD,1
1969,POL,0
1969,PRT,0
1969,ROU,0
1969,SVK,0
1969,SVN,0
1969,SWE,0
1970,AUT,0
1970,BEL,1
1970,BGR,0
1970,CYP,0
1970,CZE,0
1970,DEU,1
1970,DNK,0
1970,ESP,0
1970,EST,0
1970,FIN,0
1970,FRA,1
1970,GBR,0
1970,GRC,0
1970,HRV,0
1970,HUN,0
1970,IRL,0
1970,ITA,1
1970,LTU,0
1970,LUX,1
1970,LVA,0
1970,MLT,0
1970,NLD,1
1970,POL,0
1970,PRT,0
1970,ROU,0
1970,SVK,0
1970,SVN,0
1970,SWE,0
1971,AUT,0
1971,BEL,1
1971,BGR,0
1971,CYP,0
1971,CZE,0
1971,DEU,1
1971,DNK,0
1971,ESP,0
1971,EST,0
1971,FIN,0
1971,FRA,1
1971,GBR,0
1971,GRC,0
1971,HRV,0
1971,HUN,0
1971,IRL,0
1971,ITA,1
1971,LTU,0
1971,LUX,1
1971,LVA,0
1971,MLT,0
1971,NLD,1
1971,POL,0
1971,PRT,0
1971,ROU,0
1971,SVK,0
1971,SVN,0
1971,SWE,0
1972,AUT,0
1972,BEL,1
1972,BGR,0
1972,CYP,0
1972,CZE,0
1972,DEU,1
1972,DNK,0
1972,ESP,0
1972,EST,0
1972,FIN,0
