Year,Country,oecd
1960,AUS,0
1960,AUT,1
1960,BEL,1
1960,CAN,1
1960,CHE,1
1960,CHL,0
1960,COL,0
1960,CRI,0
1960,CZE,0
1960,DEU,1
1960,DNK,1
1960,ESP,1
1960,EST,0
1960,FIN,0
1960,FRA,1
1960,GBR,1
1960,GRC,1
1960,HUN,0
1960,IRL,1
1960,ISL,1
1960,ISR,0
1960,ITA,1
1960,JPN,0
1960,KOR,0
1960,LTU,0
1960,LUX,1
1960,LVA,0
1960,MEX,0
1960,NLD,1
1960,NOR,1
1960,NZL,0
1960,POL,0
1960,PRT,1
1960,SVK,0
1960,SVN,0
1960,SWE,1
1960,TUR,1
1960,USA,1
1961,AUS,0
1961,AUT,1
1961,BEL,1
1961,CAN,1
1961,CHE,1
1961,CHL,0
1961,COL,0
1961,CRI,0
1961,CZE,0
1961,DEU,1
1961,DNK,1
1961,ESP,1
1961,EST,0
1961,FIN,0
1961,FRA,1
1961,GBR,1
1961,GRC,1
1961,HUN,0
1961,IRL,1
1961,ISL,1
1961,ISR,0
1961,ITA,1
1961,JPN,0
1961,KOR,0
1961,LTU,0
1961,LUX,1
1961,LVA,0
1961,MEX,0
1961,NLD,1
1961,NOR,1
1961,NZL,0
1961,POL,0
1961,PRT,1
1961,SVK,0
1961,SVN,0
1961,SWE,1
1961,TUR,1
1961,USA,1
1962,AUS,0
1962,AUT,1
1962,BEL,1
1962,CAN,1
1962,CHE,1
1962,CHL,0
1962,COL,0
1962,CRI,0
1962,CZE,0
1962,DEU,1
1962,DNK,1
1962,ESP,1
1962,EST,0
1962,FIN,0
1962,FRA,1
1962,GBR,1
1962,GRC,1
1962,HUN,0
1962,IRL,1
1962,ISL,1
1962,ISR,0
1962,ITA,1
1962,JPN,0
1962,KOR,0
1962,LTU,0
1962,LUX,1
1962,LVA,0
1962,MEX,0
1962,NLD,1
1962,NOR,1
1962,NZL,0
1962,POL,0
1962,PRT,1
1962,SVK,0
1962,SVN,0
1962,SWE,1
1962,TUR,1
1962,USA,1
1963,AUS,0
1963,AUT,1
1963,BEL,1
1963,CAN,1
1963,CHE,1
1963,CHL,0
1963,COL,0
1963,CRI,0
1963,CZE,0
1963,DEU,1
1963,DNK,1
1963,ESP,1
1963,EST,0
1963,FIN,0
1963,FRA,1
1963,GBR,1
1963,GRC,1
1963,HUN,0
1963,IRL,1
1963,ISL,1
1963,ISR,0
1963,ITA,1
1963,JPN,0
1963,KOR,0
1963,LTU,0
1963,LUX,1
1963,LVA,0
1963,MEX,0
1963,NLD,1
1963,NOR,1
1963,NZL,0
1963,POL,0
1963,PRT,1
1963,SVK,0
1963,SVN,0
1963,SWE,1
1963,TUR,1
1963,USA,1
1964,AUS,0
1964,AUT,1
1964,BEL,1
1964,CAN,1
1964,CHE,1
1964,CHL,0
1964,COL,0
1964,CRI,0
1964,CZE,0
1964,DEU,1
1964,DNK,1
1964,ESP,1
1964,EST,0
1964,FIN,0
1964,FRA,1
1964,GBR,1
1964,GRC,1
1964,HUN,0
1964,IRL,1
1964,ISL,1
1964,ISR,0
1964,ITA,1
1964,JPN,1
1964,KOR,0
1964,LTU,0
1964,LUX,1
1964,LVA,0
1964,MEX,0
1964,NLD,1
1964,NOR,1
1964,NZL,0
1964,POL,0
1964,PRT,1
1964,SVK,0
1964,SVN,0
1964,SWE,1
1964,TUR,1
1964,USA,1
1965,AUS,0
1965,AUT,1
1965,BEL,1
1965,CAN,1
1965,CHE,1
1965,CHL,0
1965,COL,0
1965,CRI,0
1965,CZE,0
1965,DEU,1
1965,DNK,1
1965,ESP,1
1965,EST,0
1965,FIN,0
1965,FRA,1
1965,GBR,1
1965,GRC,1
1965,HUN,0
1965,IRL,1
1965,ISL,1
1965,ISR,0
1965,ITA,1
1965,JPN,1
1965,KOR,0
1965,LTU,0
1965,LUX,1
1965,LVA,0
1965,MEX,0
1965,NLD,1
1965,NOR,1
1965,NZL,0
1965,POL,0
1965,PRT,1
1965,SVK,0
1965,SVN,0
1965,SWE,1
1965,TUR,1
1965,USA,1
1966,AUS,0
1966,AUT,1
1966,BEL,1
1966,CAN,1
1966,CHE,1
1966,CHL,0
1966,COL,0
1966,CRI,0
1966,CZE,0
1966,DEU,1
1966,DNK,1
1966,ESP,1
1966,EST,0
1966,FIN,0
1966,FRA,1
1966,GBR,1
1966,GRC,1
1966,HUN,0
1966,IRL,1
1966,ISL,1
1966,ISR,0
1966,ITA,1
1966,JPN,1
1966,KOR,0
1966,LTU,0
1966,LUX,1
1966,LVA,0
1966,MEX,0
1966,NLD,1
1966,NOR,1
1966,NZL,0
1966,POL,0
1966,PRT,1
1966,SVK,0
1966,SVN,0
1966,SWE,1
1966,TUR,1
1966,USA,1
1967,AUS,0
1967,AUT,1
1967,BEL,1
1967,CAN,1
1967,CHE,1
1967,CHL,0
1967,COL,0
1967,CRI,0
1967,CZE,0
1967,DEU,1
1967,DNK,1
1967,ESP,1
1967,EST,0
1967,FIN,0
1967,FRA,1
1967,GBR,1
1967,GRC,1
1967,HUN,0
1967,IRL,1
1967,ISL,1
1967,ISR,0
1967,ITA,1
1967,JPN,1
1967,KOR,0
1967,LTU,0
1967,LUX,1
1967,LVA,0
1967,MEX,0
1967,NLD,1
1967,NOR,1
1967,NZL,0
1967,POL,0
1967,PRT,1
1967,SVK,0
1967,SVN,0
1967,SWE,1
1967,TUR,1
1967,USA,1
1968,AUS,0
1968,AUT,1
1968,BEL,1
1968,CAN,1
1968,CHE,1
1968,CHL,0
1968,COL,0
1968,CRI,0
1968,CZE,0
1968,DEU,1
1968,DNK,1
1968,ESP,1
1968,EST,0
1968,FIN,0
1968,FRA,1
1968,GBR,1
1968,GRC,1
1968,HUN,0
1968,IRL,1
1968,ISL,1
1968,ISR,0
1968,ITA,1
1968,JPN,1
1968,KOR,0
1968,LTU,0
1968,LUX,1
1968,LVA,0
1968,MEX,0
1968,NLD,1
1968,NOR,1
1968,NZL,0
1968,POL,0
1968,PRT,1
1968,SVK,0
1968,SVN,0
1968,SWE,1
1968,TUR,1
1968,USA,1
1969,AUS,0
1969,AUT,1
1969,BEL,1
1969,CAN,1
1969,CHE,1
1969,CHL,0
1969,COL,0
1969,CRI,0
1969,CZE,0
1969,DEU,1
1969,DNK,1
1969,ESP,1
1969,EST,0
1969,FIN,1
1969,FRA,1
1969,GBR,1
1969,GRC,1
1969,HUN,0
1969,IRL,1
1969,ISL,1
1969,ISR,0
1969,ITA,1
1969,JPN,1
1969,KOR,0
1969,LTU,0
1969,LUX,1
1969,LVA,0
1969,MEX,0
1969,NLD,1
1969,NOR,1
1969,NZL,0
1969,POL,0
1969,PRT,1
1969,SVK,0
1969,SVN,0
1969,SWE,1
1969,TUR,1
1969,USA,1
1970,AUS,0
1970,AUT,1
1970,BEL,1
1970,CAN,1
1970,CHE,1
1970,CHL,0
1970,COL,0
1970,CRI,0
1970,CZE,0
1970,DEU,1
1970,DNK,1
1970,ESP,1
1970,EST,0
1970,FIN,1
1970,FRA,1
1970,GBR,1
1970,GRC,1
1970,HUN,0
1970,IRL,1
1970,ISL,1
1970,ISR,0
1970,ITA,1
1970,JPN,1
1970,KOR,0
1970,LTU,0
1970,LUX,1
1970,LVA,0
1970,MEX,0
1970,NLD,1
1970,NOR,1
1970,NZL,0
1970,POL,0
1970,PRT,1
1970,SVK,0
1970,SVN,0
1970,SWE,1
1970,TUR,1
1970,USA,1
1971,AUS,1
1971,AUT,1
1971,BEL,1
1971,CAN,1
1971,CHE,1
1971,CHL,0
1971,COL,0
1971,CRI,0
1971,CZE,0
1971,DEU,1
1971,DNK,1
1971,ESP,1
1971,EST,0
1971,FIN,1
1971,FRA,1
1971,GBR,1
1971,GRC,1
1971,HUN,0
1971,IRL,1
1971,ISL,1
1971,ISR,0
1971,ITA,1
1971,JPN,1
1971,KOR,0
1971,LTU,0
1971,LUX,1
1971,LVA,0
1971,MEX,0
1971,NLD,1
1971,NOR,1
1971,NZL,0
1971,POL,0
1971,PRT,1
1971,SVK,0
1971,SVN,0
1971,SWE,1
1971,TUR,1
1971,USA,1
1972,AUS,1
1972,AUT,1
1972,BEL,1
1972,CAN,1
1972,CHE,1
1972,CHL,0
1972,COL,0
1972,CRI,0
1972,CZE,0
1972,DEU,1
1972,DNK,1
1972,ESP,1
1972,EST,0
1972,FIN,1
1972,FRA,1
1972,GBR,1
1972,GRC,1
1972,HUN,0
1972,IRL,1
1972,ISL,1
1972,ISR,0
1972,ITA,1
1972,JPN,1
1972,KOR,0
1972,LTU,0
1972,LUX,1
1972,LVA,0
1972,MEX,0
1972,NLD,1
1972,NOR,1
1972,NZL,0
1972,POL,0
1972,PRT,1
1972,SVK,0
1972,SVN,0
1972,SWE,1
1972,TUR,1
1972,USA,1
1973,AUS,1
1973,AUT,1
1973,BEL,1
1973,CAN,1
1973,CHE,1
1973,CHL,0
1973,COL,0
1973,CRI,0
1973,CZE,0
1973,DEU,1
1973,DNK,1
1973,ESP,1
1973,EST,0
1973,FIN,1
1973,FRA,1
1973,GBR,1
1973,GRC,1
1973,HUN,0
1973,IRL,1
1973,ISL,1
1973,ISR,0
1973,ITA,1
1973,JPN,1
1973,KOR,0
1973,LTU,0
1973,LUX,1
1973,LVA,0
1973,MEX,0
1973,NLD,1
1973,NOR,1
1973,NZL,1
1973,POL,0
1973,PRT,1
1973,SVK,0
1973,SVN,0
1973,SWE,1
1973,TUR,1
1973,USA,1
1974,AUS,1
1974,AUT,1
1974,BEL,1
1974,CAN,1
1974,CHE,1
1974,CHL,0
1974,COL,0
1974,CRI,0
1974,CZE,0
1974,DEU,1
1974,DNK,1
1974,ESP,1
1974,EST,0
1974,FIN,1
1974,FRA,1
1974,GBR,1
1974,GRC,1
1974,HUN,0
1974,IRL,1
1974,ISL,1
1974,ISR,0
1974,ITA,1
1974,JPN,1
1974,KOR,0
1974,LTU,0
1974,LUX,1
1974,LVA,0
1974,MEX,0
1974,NLD,1
1974,NOR,1
1974,NZL,1
1974,POL,0
1974,PRT,1
1974,SVK,0
1974,SVN,0
1974,SWE,1
1974,TUR,1
1974,USA,1
1975,AUS,1
1975,AUT,1
1975,BEL,1
1975,CAN,1
1975,CHE,1
1975,CHL,0
1975,COL,0
1975,CRI,0
1975,CZE,0
1975,DEU,1
1975,DNK,1
1975,ESP,1
1975,EST,0
1975,FIN,1
1975,FRA,1
1975,GBR,1
1975,GRC,1
1975,HUN,0
1975,IRL,1
1975,ISL,1
1975,ISR,0
1975,ITA,1
1975,JPN,1
1975,KOR,0
1975,LTU,0
1975,LUX,1
1975,LVA,0
1975,MEX,0
1975,NLD,1
1975,NOR,1
1975,NZL,1
1975,POL,0
1975,PRT,1
1975,SVK,0
1975,SVN,0
1975,SWE,1
1975,TUR,1
1975,USA,1
1976,AUS,1
1976,AUT,1
1976,BEL,1
1976,CAN,1
1976,CHE,1
1976,CHL,0
1976,COL,0
1976,CRI,0
1976,CZE,0
1976,DEU,1
1976,DNK,1
1976,ESP,1
1976,EST,0
1976,FIN,1
1976,FRA,1
1976,GBR,1
1976,GRC,1
1976,HUN,0
1976,IRL,1
1976,ISL,1
1976,ISR,0
1976,ITA,1
1976,JPN,1
1976,KOR,0
1976,LTU,0
1976,LUX,1
1976,LVA,0
1976,MEX,0
1976,NLD,1
1976,NOR,1
1976,NZL,1
1976,POL,0
1976,PRT,1
1976,SVK,0
1976,SVN,0
1976,SWE,1
1976,TUR,1
1976,USA,1
1977,AUS,1
1977,AUT,1
1977,BEL,1
1977,CAN,1
1977,CHE,1
1977,CHL,0
1977,COL,0
1977,CRI,0
1977,CZE,0
1977,DEU,1
1977,DNK,1
1977,ESP,1
1977,EST,0
1977,FIN,1
1977,FRA,1
1977,GBR,1
1977,GRC,1
1977,HUN,0
1977,IRL,1
1977,ISL,1
1977,ISR,0
1977,ITA,1
1977,JPN,1
1977,KOR,0
1977,LTU,0
1977,LUX,1
1977,LVA,0
1977,MEX,0
1977,NLD,1
1977,NOR,1
1977,NZL,1
1977,POL,0
1977,PRT,1
1977,SVK,0
1977,SVN,0
1977,SWE,1
1977,TUR,1
1977,USA,1
1978,AUS,1
1978,AUT,1
1978,BEL,1
1978,CAN,1
1978,CHE,1
1978,CHL,0
1978,COL,0
1978,CRI,0
1978,CZE,0
1978,DEU,1
1978,DNK,1
1978,ESP,1
1978,EST,0
1978,FIN,1
1978,FRA,1
1978,GBR,1
1978,GRC,1
1978,HUN,0
1978,IRL,1
1978,ISL,1
1978,ISR,0
1978,ITA,1
1978,JPN,1
1978,KOR,0
1978,LTU,0
1978,LUX,1
1978,LVA,0
1978,MEX,0
1978,NLD,1
1978,NOR,1
1978,NZL,1
1978,POL,0
1978,PRT,1
1978,SVK,0
1978,SVN,0
1978,SWE,1
1978,TUR,1
1978,USA,1
1979,AUS,1
1979,AUT,1
1979,BEL,1
1979,CAN,1
1979,CHE,1
1979,CHL,0
1979,COL,0
1979,CRI,0
1979,CZE,0
1979,DEU,1
1979,DNK,1
1979,ESP,1
1979,EST,0
1979,FIN,1
1979,FRA,1
1979,GBR,1
1979,GRC,1
1979,HUN,0
1979,IRL,1
1979,ISL,1
1979,ISR,0
1979,ITA,1
1979,JPN,1
1979,KOR,0
1979,LTU,0
1979,LUX,1
1979,LVA,0
1979,MEX,0
1979,NLD,1
1979,NOR,1
1979,NZL,1
1979,POL,0
1979,PRT,1
1979,SVK,0
1979,SVN,0
1979,SWE,1
1979,TUR,1
1979,USA,1
1980,AUS,1
1980,AUT,1
1980,BEL,1
1980,CAN,1
1980,CHE,1
1980,CHL,0
1980,COL,0
1980,CRI,0
1980,CZE,0
1980,DEU,1
1980,DNK,1
1980,ESP,1
1980,EST,0
1980,FIN,1
1980,FRA,1
1980,GBR,1
1980,GRC,1
1980,HUN,0
1980,IRL,1
1980,ISL,1
1980,ISR,0
1980,ITA,1
1980,JPN,1
1980,KOR,0
1980,LTU,0
1980,LUX,1
1980,LVA,0
1980,MEX,0
1980,NLD,1
1980,NOR,1
1980,NZL,1
1980,POL,0
1980,PRT,1
1980,SVK,0
1980,SVN,0
1980,SWE,1
1980,TUR,1
1980,USA,1
1981,AUS,1
1981,AUT,1
1981,BEL,1
1981,CAN,1
1981,CHE,1
1981,CHL,0
1981,COL,0
1981,CRI,0
1981,CZE,0
1981,DEU,1
1981,DNK,1
1981,ESP,1
1981,EST,0
1981,FIN,1
1981,FRA,1
1981,GBR,1
1981,GRC,1
1981,HUN,0
1981,IRL,1
1981,ISL,1
1981,ISR,0
1981,ITA,1
1981,JPN,1
1981,KOR,0
1981,LTU,0
1981,LUX,1
1981,LVA,0
1981,MEX,0
1981,NLD,1
1981,NOR,1
1981,NZL,1
1981,POL,0
1981,PRT,1
1981,SVK,0
1981,SVN,0
1981,SWE,1
1981,TUR,1
1981,USA,1
1982,AUS,1
1982,AUT,1
1982,BEL,1
1982,CAN,1
1982,CHE,1
1982,CHL,0
1982,COL,0
1982,CRI,0
1982,CZE,0
1982,DEU,1
1982,DNK,1
1982,ESP,1
1982,EST,0
1982,FIN,1
1982,FRA,1
1982,GBR,1
1982,GRC,1
1982,HUN,0
1982,IRL,1
1982,ISL,1
1982,ISR,0
1982,ITA,1
1982,JPN,1
1982,KOR,0
1982,LTU,0
1982,LUX,1
1982,LVA,0
1982,MEX,0
1982,NLD,1
1982,NOR,1
1982,NZL,1
1982,POL,0
1982,PRT,1
1982,SVK,0
1982,SVN,0
1982,SWE,1
1982,TUR,1
1982,USA,1
1983,AUS,1
1983,AUT,1
1983,BEL,1
1983,CAN,1
1983,CHE,1
1983,CHL,0
1983,COL,0
1983,CRI,0
1983,CZE,0
1983,DEU,1
1983,DNK,1
1983,ESP,1
1983,EST,0
1983,FIN,1
1983,FRA,1
1983,GBR,1
1983,GRC,1
1983,HUN,0
1983,IRL,1
1983,ISL,1
1983,ISR,0
1983,ITA,1
1983,JPN,1
1983,KOR,0
1983,LTU,0
1983,LUX,1
1983,LVA,0
1983,MEX,0
1983,NLD,1
1983,NOR,1
1983,NZL,1
1983,POL,0
1983,PRT,1
1983,SVK,0
1983,SVN,0
1983,SWE,1
1983,TUR,1
1983,USA,1
1984,AUS,1
1984,AUT,1
1984,BEL,1
1984,CAN,1
1984,CHE,1
1984,CHL,0
1984,COL,0
1984,CRI,0
1984,CZE,0
1984,DEU,1
1984,DNK,1
1984,ESP,1
1984,EST,0
1984,FIN,1
1984,FRA,1
1984,GBR,1
1984,GRC,1
1984,HUN,0
1984,IRL,1
1984,ISL,1
1984,ISR,0
1984,ITA,1
1984,JPN,1
1984,KOR,0
1984,LTU,0
1984,LUX,1
1984,LVA,0
1984,MEX,0
1984,NLD,1
1984,NOR,1
1984,NZL,1
1984,POL,0
1984,PRT,1
1984,SVK,0
1984,SVN,0
1984,SWE,1
1984,TUR,1
1984,USA,1
1985,AUS,1
1985,AUT,1
1985,BEL,1
1985,CAN,1
1985,CHE,1
1985,CHL,0
1985,COL,0
1985,CRI,0
1985,CZE,0
1985,DEU,1
1985,DNK,1
1985,ESP,1
1985,EST,0
1985,FIN,1
1985,FRA,1
1985,GBR,1
1985,GRC,1
1985,HUN,0
1985,IRL,1
1985,ISL,1
1985,ISR,0
1985,ITA,1
1985,JPN,1
1985,KOR,0
1985,LTU,0
1985,LUX,1
1985,LVA,0
1985,MEX,0
1985,NLD,1
1985,NOR,1
1985,NZL,1
1985,POL,0
1985,PRT,1
1985,SVK,0
1985,SVN,0
1985,SWE,1
1985,TUR,1
1985,USA,1
1986,AUS,1
1986,AUT,1
1986,BEL,1
1986,CAN,1
1986,CHE,1
1986,CHL,0
1986,COL,0
1986,CRI,0
1986,CZE,0
1986,DEU,1
1986,DNK,1
1986,ESP,1
1986,EST,0
1986,FIN,1
1986,FRA,1
1986,GBR,1
1986,GRC,1
1986,HUN,0
1986,IRL,1
1986,ISL,1
1986,ISR,0
1986,ITA,1
1986,JPN,1
1986,KOR,0
1986,LTU,0
1986,LUX,1
1986,LVA,0
1986,MEX,0
1986,NLD,1
1986,NOR,1
1986,NZL,1
1986,POL,0
1986,PRT,1
1986,SVK,0
1986,SVN,0
1986,SWE,1
1986,TUR,1
1986,USA,1
1987,AUS,1
1987,AUT,1
1987,BEL,1
1987,CAN,1
1987,CHE,1
1987,CHL,0
1987,COL,0
1987,CRI,0
1987,CZE,0
1987,DEU,1
1987,DNK,1
1987,ESP,1
1987,EST,0
1987,FIN,1
1987,FRA,1
1987,GBR,1
1987,GRC,1
1987,HUN,0
1987,IRL,1
1987,ISL,1
1987,ISR,0
1987,ITA,1
1987,JPN,1
1987,KOR,0
1987,LTU,0
1987,LUX,1
1987,LVA,0
1987,MEX,0
1987,NLD,1
1987,NOR,1
1987,NZL,1
1987,POL,0
1987,PRT,1
1987,SVK,0
1987,SVN,0
1987,SWE,1
1987,TUR,1
1987,USA,1
1988,AUS,1
1988,AUT,1
1988,BEL,1
1988,CAN,1
1988,CHE,1
1988,CHL,0
1988,COL,0
1988,CRI,0
1988,CZE,0
1988,DEU,1
1988,DNK,1
1988,ESP,1
1988,EST,0
1988,FIN,1
1988,FRA,1
1988,GBR,1
1988,GRC,1
1988,HUN,0
1988,IRL,1
