hs6,class,material,description,source
391510,plastic_waste,NA,"Ethylene polymers: waste, parings and scrap",HS 2012 ch. 39 / Basel Annex IX B3010
391520,plastic_waste,NA,"Styrene polymers: waste, parings and scrap",HS 2012 ch. 39 / Basel Annex IX B3010
391530,plastic_waste,NA,"Vinyl chloride polymers: waste, parings and scrap",HS 2012 ch. 39 / Basel Annex IX B3010
391590,plastic_waste,NA,"Plastics n.e.c.: waste, parings and scrap",HS 2012 ch. 39 / Basel Annex IX B3010
390210,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390220,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390230,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390290,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390311,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390319,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390320,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390330,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390390,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390410,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390430,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390440,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390450,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390461,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390469,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390490,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390519,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390529,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390530,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390591,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390599,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390610,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390690,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390710,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390720,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390730,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390740,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390750,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390760,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390770,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390791,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390799,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390810,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390890,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390920,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390930,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390940,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
390950,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391000,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391110,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391190,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391211,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391212,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391220,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391231,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391239,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391290,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391310,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391390,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391400,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391610,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391620,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391690,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391710,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391721,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391722,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391723,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391729,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391731,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391732,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391733,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391739,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391740,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391810,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391890,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391910,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
391990,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392010,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392020,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392030,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392043,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392049,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392051,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392059,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392061,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392062,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392063,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392069,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392071,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392073,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392079,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392091,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392092,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392093,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392094,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392099,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392111,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392112,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392113,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392114,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392119,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392190,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392210,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392220,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392290,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392310,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392321,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392329,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392330,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392340,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392350,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392390,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392410,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392490,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392510,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392520,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392530,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392590,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392610,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392620,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392630,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392640,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
392690,plastic_regular,NA,Non-waste chapter 39 code with 2014 mean bilateral unit value above the treated maximum,Screened in replication/code/01_build_panel.R from BACI 2014 unit values
261900,general_waste,general_waste,"Slag, dross: (other than granulated slag), scalings and other waste from the manufacture of iron or steel","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
262011,general_waste,general_waste,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly zinc, hard zinc spelter","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
262019,general_waste,general_waste,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly zinc, other than hard zinc spelter","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
262021,general_waste,general_waste,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly lead: leaded gasoline sludges and leaded anti-knock compound sludges","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
262029,general_waste,general_waste,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly lead: excluding leaded gasoline sludges and leaded anti-knock compound sludges","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
262030,general_waste,general_waste,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly copper","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
